album_id,album_popularity
1N7ckIzs97RiLEXWgEGgli,37
1RUBBim9ey8E6Kznw4UIkM,16
5W7bPvhB7XDg4RcHKSWsQU,30
24R9CyPLFa0CJrSZ9whlT3,30
5i6yMY4F7UoOuJD6wRV6NN,43
30zwjSQEodaUXCn11nmiVF,85
628CN0UzuPsstc678cQ5Sn,57
0AkYV0mq8RuPYk07G8221P,47
2dtnXYyS4Qx7CvgpWOO8Na,42
0dA9p5v8l1lxhN8OHMBgu7,17
6LMCxZc1m2uTJ1ZSNwgjYz,25
7twFekZ3zmVFkbChsA42bG,45
4HYWB8dT9bJHIZnVLU2D6z,42
3nD9Oab8M4sCLNmqmwSOdA,54
7fWkqy3R6eQCRYWPsHjA2i,26
5OkHt7JZ6HSkJH359y2H31,53
2GxwwKxtwDZkc9qX15YqKK,49
67Sjm7EwrWbnnyojmhP4KL,51
6YAwLAs71WJtwUp7LEdWIk,47
2HGzxUUz5q4jldJkodIarf,45
0lJQLQcYDv5QUWll4w9TC3,31
1qgfwFnSQeiK3ZjN5XdSag,0
2I0LPpmyvAwnXvCuBf3Pcy,48
5FmADjA3XSsqFx5iSJc27H,31
12s42mnqrEBLF3CAPYJMUh,18
1bsLkHcWAGUao6Z1dHOEIB,54
3Gby5NNeNYkMgAnrtEA3lc,61
3u1f0ziKFCkqcHUQ0AldCU,38
5DUPSEYAsHkWIF2DZ3rXty,30
5n192ghquuwEFORZEtNyLg,42
4OMiPny1FpMBFXmjxsAEDL,35
0PXfnvr4FDsvG0xOWhOzuS,46
7aekza15meYmEZlzeiqfd5,30
57wh3BpvUF2tmvwoGSjUe3,80
5lEphbceIgaK1XxWeSrC9E,62
14te3urxuBTRzhJciMLK0V,40
7GK7EmnHe9MdYTDSKHqMg7,33
6geXPbIGVA3lSoA9CrQGhR,48
2fDJNwprKYSK4ovmRzcoe4,57
4wMF6T7x8NIdD1GQvaNMn0,17
0tUmA50dII1GN946D9lUsW,42
7ssrkaAkcmqRno7FUADrA3,41
4zn2Kj85Hew0USyxc4TJEX,54
0LRTS7FyYLppkDLOZT02Xp,70
0xgBDJbWE9bQwxkofRJZiC,9
0BFDxfalZOnTZ8Z6g70tHH,10
16YdLmhRGsqy6b2RKxIQWr,23
1zzwQXBB4wiKEilH8N3w8M,30
4Gm2qDZ2J7NtLiyMzkSGaD,32
7wG7cketLF1ZzMAPWa2fcl,39
0mRmuRVY94yZmwcItjpg5b,48
4d9FU8GkH1xCCKbfBDyMKO,4
2J92im3sUEJM3pvDqDeS7f,27
605bdzgFy9TSUCMkgjesoi,21
35u7IKBpYEhxpKO86BVZmn,32
7HD93jBvVa80rJxyxDRwUL,48
4Tdem6pnui14BlWLCB4VrI,64
4I9UOJK8FuHBPel9IFMIMT,26
3OSeqyUWmkngEhQTTkdTSA,47
0PT5m6hwPRrpBwIHVnvbFX,71
4MYtX4Kta7FL4NVUE0FYws,60
2amHBpP8C0EUy6yBNy6nN6,44
0Jt2LzWgtGxy3GZH5i2Kcy,64
4eDKBINPlkkrz4AkZhx42I,47
5RMZLWa4VtvJXswpsk600P,56
4AsXQ17Arq1cUVoa9dKJ3F,72
2A4zIVdm7JjHaNo9cop985,61
4ZoaS7O8t4hcyTRaHyD9p2,23
0HwZfZGf6SB9AwwEKi7bDY,40
7g5cShRnbgXW9xwQjKNFow,24
4AgCEZwb23mfr2ML1leIKk,24
7KNV69aOJOmM2RZ1uKUevT,21
52AeC4gwbxDfFlLHgK1ByD,68
0EiI8ylL0FmWWpgHVTsZjZ,83
3SFsRy1gfOGmcCpGkPrUSc,38
7mpTSR6E855VhdCeoPgpCF,51
4zValBgcoId4qba7JiNqqO,28
5yPYingqlUnFfEzbLPtrVS,47
7tt4oeT6k5W3e8n0r89WJz,33
2n9PPXncxZeGFBGgWD6JT5,26
6z0WU3yXP0k3WCWMsFbpjO,23
2otVcTMllFwg2QW6paGMmF,38
7eH0DZ6Y9bInoU0breGFFe,55
1F8y2bg9V9nRoy8zuxo3Jt,53
49MNmJhZQewjt06rpwp6QR,62
0CvU96jYCiNP4c9u8dWHoI,43
5dmYtZVJ1bG9RyrZBRrkOA,61
5mAPk4qeNqVLtNydaWbWlf,56
2s2xll4WA81USky4yHjiH3,32
0Uy6GD6CqvEkWAdzxy7S1x,53
61emYO8kHDuDFWjKS2aELG,43
6O62Cqi0YqOytEbFmeLyjU,53
6hV7MW8zuYQ9skUy0rY2h5,43
0I5Te5Oi0Cbes6nwEe4uFV,37
3BcDdBU8cdW1iaBuWBQ9lk,39
4M0BtPkQfmBqwsDtHwBV2X,16
2kfzI47HqYmRfYtUvQPK2P,25
6O7SMt9EaEj5ReO3qmvpU7,35
2m6SMffE4HsOXmcMYmFcRt,18
1oyF52n5Za9DFmSC2t0KMN,54
50o7kf2wLwVmOTVYJOTplm,71
0AZIpjuxWMjxlJZuGDRO4g,28
18rcvgzvr5DMsPNOBwL5Cz,30
7DodMymoQ0sFG6baosag8D,33
36qtMdwzo4s7lisavSgorV,42
