artist_id,artist_popularity,artist_genres
4G5ZJny3HvX6Il7eHVfnNC,51,"['afropop', 'desert blues', 'malian blues', 'mande pop', 'wassoulou', 'world']"
19f168OQu5y06r89NVmS55,16,['rare groove']
1iElGdidl4zFXOpaaem4wZ,37,"['afrobeat', 'afropop', 'world']"
5eNWwEF0woj5E5Fnu9qXaQ,25,"['raga rock', 'sitar', 'world fusion']"
0rsN9DKQhTCvkgbByOOBIm,39,['ethio-jazz']
4xPQFgDA5M2xa0ZGo5iIsv,78,[]
1GuqTQbuixFHD6eBkFwVcb,59,"['bass house', 'old school bassline']"
6tw3wmGmRXSWP9GqsnvY7B,35,"['bboy', 'instrumental funk', 'rare groove']"
7K5Lm5dxoEwEpOS0Fc3l3s,57,['indie folk']
0b3ISAJg1jwifewBgTwTHG,24,['uk alternative hip hop']
4nZbOHYEypqHtWwTPQu8Fl,38,"['brooklyn indie', 'metropopolis', 'neo-synthpop']"
59oA5WbbQvomJz2BuRG071,72,"['indie soul', 'uk contemporary r&b']"
4JfFdF9Row7UXtdsKtT6tc,49,"['afrobeat', 'classic soul', 'funk', 'traditional soul']"
5MP66vsL8fKBpZuzJmmj8f,22,[]
48nwxUvPJZkm8uPa7xMzmj,48,"['soul blues', 'southern soul']"
1Pe5hlKMCTULjosqZ6KanP,53,"['classic girl group', 'classic soul', 'motown', 'soul', 'southern soul']"
5dM7jA0PXh0Ozz8LT2YOCB,46,"['memphis soul', 'soul', 'soul blues', 'southern soul']"
462T0buQ5ScBUQCRpodDRf,54,"['funk', 'soul']"
0Y0ZlznP6vzTS1qAm5dvTN,34,"['traditional country', 'western swing', 'yodeling']"
1kP5j8EKFwR2huPQDm18NK,0,['fremantle indie']
6XYvaoDGE0VmRt83Jss9Sn,59,"['australian psych', 'double drumming', 'microtonal', 'neo-psychedelic']"
0aS3d5fd7GrmApv4p7nho8,26,[]
0IF46mUS8NXjgHabxk2MCM,60,"['dance pop', 'hip pop', 'neo soul', 'urban contemporary']"
6LEeAFiJF8OuPx747e1wxR,61,"['alternative r&b', 'art pop', 'escape room', 'indie soul', 'indietronica', 'metropopolis']"
2DlGxzQSjYe5N6G9nkYghR,73,"['dance pop', 'pop', 'urban contemporary']"
3P2gYnypDVi90ZavnaAhfL,41,"['art rock', 'canterbury scene', 'experimental', 'experimental rock', 'jazz rock', 'psychedelic rock', 'symphonic rock']"
6olWbKW2VLhFCHfOi0iEDb,42,"['instrumental hip hop', 'purple sound', 'scottish electronic', 'scottish hip hop', 'uk experimental electronic', 'wonky']"
1PXHzxRDiLnjqNrRn2Xbsa,53,"['big beat', 'electronica']"
1GwinA1uq3G9r8PNK9MoRy,28,[]
7u1V0Ucu5ggW1VaXwh8KeT,44,"['arab groove', 'belly dance', 'libyan pop']"
4VA3EAvncrTucjTmrvd4GE,44,"['alternative r&b', 'indie soul']"
6l3HvQ5sa6mXTsMTB19rO5,84,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
5Wabl1lPdNOeIn0SQ5A1mp,61,"['alternative rock', 'art pop', 'dream pop', 'ethereal wave', 'melancholia', 'new wave', 'scottish indie', 'scottish shoegaze', 'shoegaze', 'synthpop']"
2MPHBxznH1fj59jbOWY38u,44,"['afrofuturism', 'alternative r&b', 'experimental r&b', 'indie soul', 'la pop']"
5Ly0z60jjgsY4rkmjRFtPS,39,['electra']
5iUnvXddCpOrbWKm7QMr6o,50,['experimental hip hop']
7A0awCXkE1FtSU8B0qwOJQ,58,"['electronica', 'future garage', 'indie soul', 'indietronica']"
0v8kJy6pfyJsO20V77miAI,32,['japanese dub']
4aEnNH9PuU1HF3TsZTru54,53,"['alternative dance', 'art pop', 'electronica', 'folktronica', 'indietronica', 'intelligent dance music', 'trip hop']"
7EK1bQADBoqbYXnT4Cqv9w,66,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
49aaHxvAJ0tCh0F15OnwIl,68,['europop']
0k8qF9yLQtIcgozNjrIk7f,31,"['kwaito', 'south african jazz']"
0qxcTuKo5o74bLH9bQqdS6,5,[]
7Eu1txygG6nJttLHbZdQOh,60,"['electronica', 'folktronica', 'indietronica', 'intelligent dance music', 'trip hop']"
7nSWA1659h0Vb1EyjJdSFV,27,"['arab alternative', 'arab groove', 'palestinian pop', 'syrian pop']"
5PWnUGbA3SNGNE7U9YPnXH,31,['polish electronica']
4FFwzgDJc7AaKVPYxQzwjk,26,['neapolitan funk']
0mFoqJiNDtYntypvy6roGR,44,"['memphis soul', 'southern soul']"
536qHynzDH1QviwhWY9dE3,27,"['deconstructed club', 'uk experimental electronic']"
0LMkPoi2xIgpOPUSJMftqM,34,"['afro psych', 'stoner metal']"
0ZoYAbDGICaSPSfTTvworW,28,"['experimental indie', 'experimental pop', 'popgaze']"
6YUx1iZjYtiwbDjQLULIHf,27,['italo disco']
2UmG7WphL1CMN7mVWyhE7u,47,"['australian reggae fusion', 'indie garage rock', 'neo-psychedelic']"
7mnBLXK823vNxN3UWB7Gfz,71,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock']"
5lYcr7Yue9FUB7MJDBtTJx,41,"['brazilian boogie', 'jazz funk', 'psicodelia brasileira']"
5CE2IfdYZEQGIDsfiRm8SI,59,"['downtempo', 'electronica', 'instrumental hip hop', 'trip hop']"
3WrFJ7ztbogyGnTHbHJFl2,82,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
1aSxMhuvixZ8h9dK9jIDwL,68,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
3Q6OOkfssqoMSTtl11J5Uk,46,"['acid rock', 'folk rock', 'psychedelic rock']"
2ycnb8Er79LoH2AsR5ldjh,66,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']"
1Tzu45aHnn0Xz4msfhHRW1,42,['italo disco']
6Zh3xrWlA0SA9Fsfj9AVwm,51,"['new romantic', 'new wave pop', 'synthpop']"
08GQAI4eElDnROBrJRGE0X,79,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']"
6zvul52xwTWzilBZl6BUbT,67,"['alternative rock', 'boston rock', 'permanent wave', 'rock']"
5xLSa7l4IV1gsQfhAMvl0U,58,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul', 'soul blues', 'traditional blues']"
6Tyzp9KzpiZ04DABQoedps,56,"['art pop', 'chillwave', 'downtempo', 'electronica', 'gothenburg indie', 'indie soul', 'indietronica', 'neo-synthpop', 'swedish electropop', 'swedish synthpop', 'trip hop']"
0pvLXdsgWnpJClomaQ41JQ,22,['gnawa']
6pFsfSCmKyG28Cyj5QMIFY,24,"['deep disco', 'post-disco', 'post-disco soul']"
31pgjXYjK95dU2UrhK6C0L,14,[]
2cGwlqi3k18jFpUyTrsR84,63,"['britpop', 'permanent wave', 'rock', 'shoegaze']"
7GlBOeep6PqTfFi59PTUUN,78,"['indie pop', 'springfield mo indie']"
