danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.763,0.451,4,-10.693,0,0.0397,0.376,0.117,0.211,0.173,110.001,audio_features,5gciWzZRdQHiWkyBaHPSdB,spotify:track:5gciWzZRdQHiWkyBaHPSdB,https://api.spotify.com/v1/tracks/5gciWzZRdQHiWkyBaHPSdB,https://api.spotify.com/v1/audio-analysis/5gciWzZRdQHiWkyBaHPSdB,214293,4
0.594,0.635,1,-8.069,0,0.0411,0.067,0.782,0.093,0.709,138.624,audio_features,0Ty1I0eAkYpSGd7MJWXM2n,spotify:track:0Ty1I0eAkYpSGd7MJWXM2n,https://api.spotify.com/v1/tracks/0Ty1I0eAkYpSGd7MJWXM2n,https://api.spotify.com/v1/audio-analysis/0Ty1I0eAkYpSGd7MJWXM2n,405520,4
0.607,0.428,0,-8.809,0,0.072,0.518,6.78e-06,0.201,0.597,153.24,audio_features,1YN3aermJfsy53lU90Nssf,spotify:track:1YN3aermJfsy53lU90Nssf,https://api.spotify.com/v1/tracks/1YN3aermJfsy53lU90Nssf,https://api.spotify.com/v1/audio-analysis/1YN3aermJfsy53lU90Nssf,297163,4
0.523,0.722,6,-6.533,1,0.0307,0.074,0.00336,0.122,0.506,129.424,audio_features,6BkeuHmO4P69Ln2BSonrXi,spotify:track:6BkeuHmO4P69Ln2BSonrXi,https://api.spotify.com/v1/tracks/6BkeuHmO4P69Ln2BSonrXi,https://api.spotify.com/v1/audio-analysis/6BkeuHmO4P69Ln2BSonrXi,215867,4
0.471,0.551,5,-10.484,0,0.0291,0.04,0.147,0.345,0.692,104.791,audio_features,2YfRKF4sWeV1t1NqBoUgxH,spotify:track:2YfRKF4sWeV1t1NqBoUgxH,https://api.spotify.com/v1/tracks/2YfRKF4sWeV1t1NqBoUgxH,https://api.spotify.com/v1/audio-analysis/2YfRKF4sWeV1t1NqBoUgxH,324880,4
0.6,0.885,11,-6.21,0,0.393,0.0157,6.02e-06,0.856,0.736,105.003,audio_features,04CyMEHliadfQWMUJb1w99,spotify:track:04CyMEHliadfQWMUJb1w99,https://api.spotify.com/v1/tracks/04CyMEHliadfQWMUJb1w99,https://api.spotify.com/v1/audio-analysis/04CyMEHliadfQWMUJb1w99,111458,4
0.842,0.705,10,-5.713,0,0.26,0.113,0.000324,0.0891,0.233,132.155,audio_features,5CaUUACiQFEf4zR5WoeIrp,spotify:track:5CaUUACiQFEf4zR5WoeIrp,https://api.spotify.com/v1/tracks/5CaUUACiQFEf4zR5WoeIrp,https://api.spotify.com/v1/audio-analysis/5CaUUACiQFEf4zR5WoeIrp,180000,4
0.757,0.707,11,-8.369,0,0.0467,0.591,0.0011,0.226,0.738,108.972,audio_features,26abVr6jXXu2wqMpwpK53M,spotify:track:26abVr6jXXu2wqMpwpK53M,https://api.spotify.com/v1/tracks/26abVr6jXXu2wqMpwpK53M,https://api.spotify.com/v1/audio-analysis/26abVr6jXXu2wqMpwpK53M,182612,4
0.73,0.403,10,-11.392,0,0.0323,0.363,0.000586,0.123,0.456,114.007,audio_features,2rffQmn97Ioere9gEGng5V,spotify:track:2rffQmn97Ioere9gEGng5V,https://api.spotify.com/v1/tracks/2rffQmn97Ioere9gEGng5V,https://api.spotify.com/v1/audio-analysis/2rffQmn97Ioere9gEGng5V,275159,4
0.791,0.572,5,-10.012,0,0.0516,0.733,0.0239,0.35,0.352,94.461,audio_features,2vDvc9gRLua4pzuL7g50nk,spotify:track:2vDvc9gRLua4pzuL7g50nk,https://api.spotify.com/v1/tracks/2vDvc9gRLua4pzuL7g50nk,https://api.spotify.com/v1/audio-analysis/2vDvc9gRLua4pzuL7g50nk,188262,3
0.659,0.764,7,-7.635,1,0.176,0.0106,0.874,0.0761,0.551,118.245,audio_features,51ml2bJs9zDLv1PbzNQzPP,spotify:track:51ml2bJs9zDLv1PbzNQzPP,https://api.spotify.com/v1/tracks/51ml2bJs9zDLv1PbzNQzPP,https://api.spotify.com/v1/audio-analysis/51ml2bJs9zDLv1PbzNQzPP,293427,4
0.65,0.103,9,-12.633,0,0.0359,0.949,0.000132,0.11,0.355,118.426,audio_features,6vJd2GJjUp8vgYCgoGQmIt,spotify:track:6vJd2GJjUp8vgYCgoGQmIt,https://api.spotify.com/v1/tracks/6vJd2GJjUp8vgYCgoGQmIt,https://api.spotify.com/v1/audio-analysis/6vJd2GJjUp8vgYCgoGQmIt,177253,3
